 A 65.06
 B 25.66
 C 28.37
 D 54.14
 E 166.93
 F 20.44
 G 36.47
 H 40.64
 I 78.12
 J 1.91
 K 18.79
 L 28.25
 M 30.05
 N 99.05
 O 22.85
 P 9.44
 Q .55
 R 65.39
 S 67.65
 T 67.42
 U 37.03
 V 10.69
 W 13.96
 X .22
 Y .32
 Z 10.02
